,customer_id,customer_name,phone_number,message,extracted_date
670,3,Jennifer Turner,9205572967,"Spent Rs.6884 On Kotak Bank Card 0897 At MARTIN, BOWMAN AND JOHNSON. On 2024-07-31:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808",2024-07-31
693,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 24/08/2024 for Rs.3287.38 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 46.529.subject to realisation.Mirae Asset MF",2024-08-24
694,3,Jennifer Turner,9205572967,Spent Rs.3518 On Kotak Bank Card 0897 At COOK AND SONS. On 2024-09-06:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808,2024-09-06
717,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 23/09/2024 for Rs.4898.78 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 32.215.subject to realisation.Mirae Asset MF",2024-09-23
719,3,Jennifer Turner,9205572967,Spent Rs.8794 On Kotak Bank Card 0897 At JOHNSON LLC. On 2024-10-04:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808,2024-10-04
742,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 23/10/2024 for Rs.4427.43 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 18.594.subject to realisation.Mirae Asset MF",2024-10-23
744,3,Jennifer Turner,9205572967,"Spent Rs.9533 On Kotak Bank Card 0897 At SMITH, HALEY AND CUMMINGS. On 2024-11-04:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808",2024-11-04
767,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 22/11/2024 for Rs.1842.21 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 26.111.subject to realisation.Mirae Asset MF",2024-11-22
769,3,Jennifer Turner,9205572967,Spent Rs.5628 On Kotak Bank Card 0897 At JOSEPH-BARNES. On 2024-12-04:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808,2024-12-04
771,3,Jennifer Turner,9205572967,"Alert! Premium of Rs. 45024.06 due on 21/11/2024 for your Tata AIA Life Insurance Policy U184181586 will be debited from your Kotak Bank, account number XXXXXXXXXXXX5829. Kindly maintain sufficient balance in your account. For any assistance call us on 18602669966.",2024-11-21
793,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 22/12/2024 for Rs.1704.26 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 40.051.subject to realisation.Mirae Asset MF",2024-12-22
795,3,Jennifer Turner,9205572967,Spent Rs.2726 On Kotak Bank Card 0897 At KENT-DAVIS. On 2024-12-28:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808,2024-12-28
818,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 21/01/2025 for Rs.2536.77 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 16.515.subject to realisation.Mirae Asset MF",2025-01-21
820,3,Jennifer Turner,9205572967,Spent Rs.3654 On Kotak Bank Card 0897 At KERR INC. On 2025-01-24:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808,2025-01-24
843,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 20/02/2025 for Rs.2908.89 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 44.989.subject to realisation.Mirae Asset MF",2025-02-20
845,3,Jennifer Turner,9205572967,Spent Rs.3817 On Kotak Bank Card 0897 At HICKS LLC. On 2025-02-20:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808,2025-02-20
868,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 22/03/2025 for Rs.3827.59 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 42.652.subject to realisation.Mirae Asset MF",2025-03-22
870,3,Jennifer Turner,9205572967,Spent Rs.13255 On Kotak Bank Card 0897 At OCHOA-CHAVEZ. On 2025-03-29:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808,2025-03-29
893,3,Jennifer Turner,9205572967,"Greetings, Your SIP of 21/04/2025 for Rs.1407.81 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 47.654.subject to realisation.Mirae Asset MF",2025-04-21
895,3,Jennifer Turner,9205572967,Spent Rs.4608 On Kotak Bank Card 0897 At BECK-FIELDS. On 2025-04-26:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808,2025-04-26
918,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 26/05/2024 for Rs.958.39 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 41.013.subject to realisation.Mirae Asset MF",2024-05-26
920,4,Christopher Hernandez,9084106692,Spent Rs.8191 On HDFC Bank Card 1347 At GORDON GROUP. On 2024-05-28:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-05-28
922,4,Christopher Hernandez,9084106692,"Alert! Premium of Rs. 21804.88 due on 25/05/2024 for your Tata AIA Life Insurance Policy U184181586 will be debited from your HDFC Bank, account number XXXXXXXXXXXX5829. Kindly maintain sufficient balance in your account. For any assistance call us on 18602669966.",2024-05-25
944,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 25/06/2024 for Rs.4122.77 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 28.738.subject to realisation.Mirae Asset MF",2024-06-25
946,4,Christopher Hernandez,9084106692,"Spent Rs.3371 On HDFC Bank Card 1347 At BUTLER, RIVERS AND BLACK. On 2024-07-07:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2024-07-07
969,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 25/07/2024 for Rs.1795.29 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 38.319.subject to realisation.Mirae Asset MF",2024-07-25
971,4,Christopher Hernandez,9084106692,"Spent Rs.7274 On HDFC Bank Card 1347 At WALTON, HORNE AND GUTIERREZ. On 2024-07-31:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2024-07-31
994,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 24/08/2024 for Rs.1529.49 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 20.559.subject to realisation.Mirae Asset MF",2024-08-24
995,4,Christopher Hernandez,9084106692,Spent Rs.13870 On HDFC Bank Card 1347 At RODRIGUEZ PLC. On 2024-08-26:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-08-26
1018,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 23/09/2024 for Rs.3353.67 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 22.409.subject to realisation.Mirae Asset MF",2024-09-23
1020,4,Christopher Hernandez,9084106692,Spent Rs.4994 On HDFC Bank Card 1347 At OLSON-HINES. On 2024-09-28:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-09-28
1043,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 23/10/2024 for Rs.2279.46 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 31.243.subject to realisation.Mirae Asset MF",2024-10-23
1045,4,Christopher Hernandez,9084106692,Spent Rs.8299 On HDFC Bank Card 1347 At CONRAD-COOK. On 2024-11-03:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-11-03
1068,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 22/11/2024 for Rs.954.18 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 44.472.subject to realisation.Mirae Asset MF",2024-11-22
1070,4,Christopher Hernandez,9084106692,Spent Rs.3330 On HDFC Bank Card 1347 At HARTMAN INC. On 2024-11-28:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-11-28
1072,4,Christopher Hernandez,9084106692,"Alert! Premium of Rs. 31005.30 due on 21/11/2024 for your Tata AIA Life Insurance Policy U184181586 will be debited from your HDFC Bank, account number XXXXXXXXXXXX5829. Kindly maintain sufficient balance in your account. For any assistance call us on 18602669966.",2024-11-21
1094,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 22/12/2024 for Rs.577.23 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 22.054.subject to realisation.Mirae Asset MF",2024-12-22
1095,4,Christopher Hernandez,9084106692,Spent Rs.12953 On HDFC Bank Card 1347 At HAYES-WASHINGTON. On 2024-12-21:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2024-12-21
1118,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 21/01/2025 for Rs.1263.56 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 34.047.subject to realisation.Mirae Asset MF",2025-01-21
1120,4,Christopher Hernandez,9084106692,"Spent Rs.7440 On HDFC Bank Card 1347 At PATEL, ANDERSON AND PALMER. On 2025-01-23:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2025-01-23
1143,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 20/02/2025 for Rs.4583.52 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 31.481.subject to realisation.Mirae Asset MF",2025-02-20
1145,4,Christopher Hernandez,9084106692,"Spent Rs.6704 On HDFC Bank Card 1347 At WILSON, PARSONS AND GOMEZ. On 2025-03-01:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2025-03-01
1168,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 22/03/2025 for Rs.2162.86 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 25.065.subject to realisation.Mirae Asset MF",2025-03-22
1170,4,Christopher Hernandez,9084106692,"Spent Rs.14546 On HDFC Bank Card 1347 At AGUIRRE, MARTIN AND ROSE. On 2025-03-24:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808",2025-03-24
1193,4,Christopher Hernandez,9084106692,"Greetings, Your SIP of 21/04/2025 for Rs.1367.26 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 30.046.subject to realisation.Mirae Asset MF",2025-04-21
1195,4,Christopher Hernandez,9084106692,Spent Rs.10641 On HDFC Bank Card 1347 At CLAYTON AND SONS. On 2025-04-25:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 1347 to 7308080808,2025-04-25
1218,5,Robert White,9907024375,"Greetings, Your SIP of 26/05/2024 for Rs.1537.13 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 14.369.subject to realisation.Mirae Asset MF",2024-05-26
1220,5,Robert White,9907024375,"Spent Rs.9797 On IDBI Bank Card 4219 At CARR, GIBSON AND PATTERSON. On 2024-06-07:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 4219 to 7308080808",2024-06-07
1222,5,Robert White,9907024375,"Alert! Premium of Rs. 18392.46 due on 25/05/2024 for your Tata AIA Life Insurance Policy U184181586 will be debited from your IDBI Bank, account number XXXXXXXXXXXX5829. Kindly maintain sufficient balance in your account. For any assistance call us on 18602669966.",2024-05-25
1244,5,Robert White,9907024375,"Greetings, Your SIP of 25/06/2024 for Rs.2528.0 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 17.516.subject to realisation.Mirae Asset MF",2024-06-25
1245,5,Robert White,9907024375,"Spent Rs.8985 On IDBI Bank Card 4219 At ROBINSON, WEBB AND MARTINEZ. On 2024-07-08:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 4219 to 7308080808",2024-07-08
1268,5,Robert White,9907024375,"Greetings, Your SIP of 25/07/2024 for Rs.4733.28 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 48.852.subject to realisation.Mirae Asset MF",2024-07-25
1270,5,Robert White,9907024375,"Spent Rs.9219 On IDBI Bank Card 4219 At STRONG, UNDERWOOD AND COLEMAN. On 2024-07-28:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 4219 to 7308080808",2024-07-28
1293,5,Robert White,9907024375,"Greetings, Your SIP of 24/08/2024 for Rs.4844.79 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 47.854.subject to realisation.Mirae Asset MF",2024-08-24
1294,5,Robert White,9907024375,"Spent Rs.834 On IDBI Bank Card 4219 At BENNETT, SANTOS AND CABRERA. On 2024-09-06:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 4219 to 7308080808",2024-09-06
1317,5,Robert White,9907024375,"Greetings, Your SIP of 23/09/2024 for Rs.2905.93 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 36.753.subject to realisation.Mirae Asset MF",2024-09-23
1319,5,Robert White,9907024375,Spent Rs.7952 On IDBI Bank Card 4219 At ANDERSON-EDWARDS. On 2024-09-29:11:19:35.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 4219 to 7308080808,2024-09-29
