Date,SMS
2024-07-11,Rs.2882 credited to HDFC Bank A/c XX1210 on 11-07-24 from VPA 8237581940@axl (UPI 818308893641)
2024-07-03,"HDFC Bank Cardmember, Payment of Rs 1260 was credited to your card ending 0897 on 03/Jul/2024."
2024-08-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Aug-24 for FT- Salary Aug 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 625492. Cheque deposits in A/C are subject to clearing
2024-08-13,"Greetings, Your SIP of 13/08/2024 for Rs.2356.97 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 27.116.subject to realisation.Mirae Asset MF"
2024-08-03,EMI of Rs. 26141 for Loan A/c H402HHL5608684 is due on 03 Aug 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2024-08-05,EMI of Rs. 27162 for Loan A/c H402HHL4092767 is due on 05 Aug 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-08-04,EMI of Rs. 27331 for Loan A/c H402HHL5277148 is due on 04 Aug 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-08-24,Spent Rs.4875 On HDFC Bank Card 0897 At BIG BAZAAR. On 2024-08-24:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-08-26,Spent Rs.6617 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2024-08-26:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-08-27,Spent Rs.14382 On HDFC Bank Card 0897 At AMAZON. On 2024-08-27:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-08-09,Rs.1870 credited to HDFC Bank A/c XX1210 on 09-08-24 from VPA 8237581940@axl (UPI 514218664135)
2024-08-06,"HDFC Bank Cardmember, Payment of Rs 1062 was credited to your card ending 0897 on 06/Aug/2024."
2024-09-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Sep-24 for FT- Salary Sep 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 579691. Cheque deposits in A/C are subject to clearing
2024-09-09,"Greetings, Your SIP of 09/09/2024 for Rs.2048.17 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 25.865.subject to realisation.Mirae Asset MF"
2024-09-02,EMI of Rs. 19703 for Loan A/c H402HHL8525126 is due on 02 Sep 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2024-09-03,EMI of Rs. 20044 for Loan A/c H402HHL5908721 is due on 03 Sep 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2024-09-05,EMI of Rs. 15659 for Loan A/c H402HHL6306736 is due on 05 Sep 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2024-09-12,Spent Rs.5316 On HDFC Bank Card 0897 At UBER. On 2024-09-12:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-09-24,Spent Rs.14487 On HDFC Bank Card 0897 At AMAZON. On 2024-09-24:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-09-08,Spent Rs.9471 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2024-09-08:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-09-11,Rs.2607 credited to HDFC Bank A/c XX1210 on 11-09-24 from VPA 8237581940@axl (UPI 205400790339)
2024-09-07,"HDFC Bank Cardmember, Payment of Rs 2083 was credited to your card ending 0897 on 07/Sep/2024."
2024-10-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Oct-24 for FT- Salary Oct 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 614482. Cheque deposits in A/C are subject to clearing
2024-10-10,"Greetings, Your SIP of 10/10/2024 for Rs.2562.05 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 33.017.subject to realisation.Mirae Asset MF"
2024-10-05,EMI of Rs. 13108 for Loan A/c H402HHL8610132 is due on 05 Oct 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2024-10-06,EMI of Rs. 13047 for Loan A/c H402HHL8351476 is due on 06 Oct 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2024-10-04,EMI of Rs. 21752 for Loan A/c H402HHL7541675 is due on 04 Oct 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-10-16,Spent Rs.12671 On HDFC Bank Card 0897 At DOMINOS. On 2024-10-16:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-10-12,Spent Rs.14187 On HDFC Bank Card 0897 At BIG BAZAAR. On 2024-10-12:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-10-13,Spent Rs.10979 On HDFC Bank Card 0897 At AMAZON. On 2024-10-13:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-10-05,Spent Rs.3122 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2024-10-05:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-10-08,Rs.1969 credited to HDFC Bank A/c XX1210 on 08-10-24 from VPA 8237581940@axl (UPI 979639322651)
2024-10-05,"HDFC Bank Cardmember, Payment of Rs 2581 was credited to your card ending 0897 on 05/Oct/2024."
2024-11-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Nov-24 for FT- Salary Nov 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 562765. Cheque deposits in A/C are subject to clearing
2024-11-10,"Greetings, Your SIP of 10/11/2024 for Rs.2529.82 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 33.197.subject to realisation.Mirae Asset MF"
2024-11-02,EMI of Rs. 5044 for Loan A/c H402HHL2520269 is due on 02 Nov 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-11-03,EMI of Rs. 14328 for Loan A/c H402HHL2762742 is due on 03 Nov 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2024-11-24,Spent Rs.7788 On HDFC Bank Card 0897 At BIG BAZAAR. On 2024-11-24:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-11-04,Spent Rs.12363 On HDFC Bank Card 0897 At AMAZON. On 2024-11-04:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-11-23,Spent Rs.10942 On HDFC Bank Card 0897 At BIG BAZAAR. On 2024-11-23:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-11-21,Spent Rs.2804 On HDFC Bank Card 0897 At UBER. On 2024-11-21:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-11-11,Rs.1673 credited to HDFC Bank A/c XX1210 on 11-11-24 from VPA 8237581940@axl (UPI 668506042245)
2024-11-06,"HDFC Bank Cardmember, Payment of Rs 2521 was credited to your card ending 0897 on 06/Nov/2024."
2024-12-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Dec-24 for FT- Salary Dec 24-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 672077. Cheque deposits in A/C are subject to clearing
2024-12-12,"Greetings, Your SIP of 12/12/2024 for Rs.2339.47 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 28.672.subject to realisation.Mirae Asset MF"
2024-12-05,EMI of Rs. 16886 for Loan A/c H402HHL4234521 is due on 05 Dec 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-12-06,EMI of Rs. 5855 for Loan A/c H402HHL2309208 is due on 06 Dec 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2024-12-03,EMI of Rs. 18724 for Loan A/c H402HHL3860348 is due on 03 Dec 2024. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2024-12-16,Spent Rs.3527 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2024-12-16:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-12-10,Spent Rs.14500 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2024-12-10:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-12-21,Spent Rs.4276 On HDFC Bank Card 0897 At DOMINOS. On 2024-12-21:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-12-16,Spent Rs.4897 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2024-12-16:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2024-12-10,Rs.1040 credited to HDFC Bank A/c XX1210 on 10-12-24 from VPA 8237581940@axl (UPI 656259931868)
2024-12-05,"HDFC Bank Cardmember, Payment of Rs 1840 was credited to your card ending 0897 on 05/Dec/2024."
2025-01-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Jan-25 for FT- Salary Jan 25-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 681200. Cheque deposits in A/C are subject to clearing
2025-01-11,"Greetings, Your SIP of 11/01/2025 for Rs.2739.04 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 34.239.subject to realisation.Mirae Asset MF"
2025-01-03,EMI of Rs. 28956 for Loan A/c H402HHL7294907 is due on 03 Jan 2025. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2025-01-02,EMI of Rs. 7935 for Loan A/c H402HHL3308235 is due on 02 Jan 2025. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2025-01-03,EMI of Rs. 11214 for Loan A/c H402HHL3571517 is due on 03 Jan 2025. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2025-01-10,Spent Rs.7580 On HDFC Bank Card 0897 At DOMINOS. On 2025-01-10:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-01-02,Spent Rs.6557 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2025-01-02:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-01-21,Spent Rs.644 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2025-01-21:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-01-10,Spent Rs.11910 On HDFC Bank Card 0897 At DOMINOS. On 2025-01-10:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-01-07,Spent Rs.10510 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2025-01-07:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-01-10,Rs.2291 credited to HDFC Bank A/c XX1210 on 10-01-25 from VPA 8237581940@axl (UPI 354298651180)
2025-01-06,"HDFC Bank Cardmember, Payment of Rs 1403 was credited to your card ending 0897 on 06/Jan/2025."
2025-02-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Feb-25 for FT- Salary Feb 25-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 628693. Cheque deposits in A/C are subject to clearing
2025-02-12,"Greetings, Your SIP of 12/02/2025 for Rs.2242.19 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 31.321.subject to realisation.Mirae Asset MF"
2025-02-06,EMI of Rs. 11762 for Loan A/c H402HHL2069889 is due on 06 Feb 2025. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2025-02-03,EMI of Rs. 14963 for Loan A/c H402HHL9517511 is due on 03 Feb 2025. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2025-02-18,Spent Rs.9497 On HDFC Bank Card 0897 At UBER. On 2025-02-18:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-02-07,Spent Rs.13843 On HDFC Bank Card 0897 At UBER. On 2025-02-07:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-02-26,Spent Rs.7578 On HDFC Bank Card 0897 At AMAZON. On 2025-02-26:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-02-07,Spent Rs.9746 On HDFC Bank Card 0897 At UBER. On 2025-02-07:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-02-11,Rs.1956 credited to HDFC Bank A/c XX1210 on 11-02-25 from VPA 8237581940@axl (UPI 396878203095)
2025-02-03,"HDFC Bank Cardmember, Payment of Rs 1871 was credited to your card ending 0897 on 03/Feb/2025."
2025-03-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Mar-25 for FT- Salary Mar 25-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 564667. Cheque deposits in A/C are subject to clearing
2025-03-10,"Greetings, Your SIP of 10/03/2025 for Rs.2016.48 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 33.537.subject to realisation.Mirae Asset MF"
2025-03-03,EMI of Rs. 9317 for Loan A/c H402HHL5041666 is due on 03 Mar 2025. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2025-03-02,EMI of Rs. 7045 for Loan A/c H402HHL1078512 is due on 02 Mar 2025. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Home Loan)
2025-03-27,Spent Rs.5492 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2025-03-27:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-03-28,Spent Rs.11037 On HDFC Bank Card 0897 At BIG BAZAAR. On 2025-03-28:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-03-05,Spent Rs.5215 On HDFC Bank Card 0897 At AMAZON. On 2025-03-05:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-03-07,Spent Rs.4466 On HDFC Bank Card 0897 At BIG BAZAAR. On 2025-03-07:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-03-08,Spent Rs.8620 On HDFC Bank Card 0897 At TITAN COMPANY LIM. On 2025-03-08:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-03-09,Rs.4355 credited to HDFC Bank A/c XX1210 on 09-03-25 from VPA 8237581940@axl (UPI 914296496009)
2025-03-05,"HDFC Bank Cardmember, Payment of Rs 1054 was credited to your card ending 0897 on 05/Mar/2025."
2025-04-05,Update! INR 50000.00 deposited in HDFC Bank A/c XX1210 on 05-Apr-25 for FT- Salary Apr 25-XXXXXXXXXX6599 - DATAEAZE SYSTEMS PRIVATE LTD -.Avl bal INR 504129. Cheque deposits in A/C are subject to clearing
2025-04-10,"Greetings, Your SIP of 10/04/2025 for Rs.2668.98 under Folio XXXXXXX0016 in Mirae Asset Midcap Fund-Regular has been processed for NAV of 27.533.subject to realisation.Mirae Asset MF"
2025-04-05,EMI of Rs. 23714 for Loan A/c H402HHL2339104 is due on 05 Apr 2025. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Education Loan)
2025-04-06,EMI of Rs. 25411 for Loan A/c H402HHL4864627 is due on 06 Apr 2025. Ensure HDFC Bank A/c 6133 has funds to avoid charges. -Bajaj Housing Finance Ltd (Car Loan)
2025-04-04,Spent Rs.7661 On HDFC Bank Card 0897 At UBER. On 2025-04-04:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-04-09,Spent Rs.6623 On HDFC Bank Card 0897 At BIG BAZAAR. On 2025-04-09:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-04-06,Spent Rs.3517 On HDFC Bank Card 0897 At UBER. On 2025-04-06:00:00:00.Not You? To Block+Reissue Call 18002586161/SMS BLOCK CC 0897 to 7308080808
2025-04-10,Rs.4898 credited to HDFC Bank A/c XX1210 on 10-04-25 from VPA 8237581940@axl (UPI 255213577939)
2025-04-04,"HDFC Bank Cardmember, Payment of Rs 1662 was credited to your card ending 0897 on 04/Apr/2025."
